Provider,TotalClaims_Count,UniqueBeneficiaries_Count,InpatientClaims_Count,OutpatientClaims_Count,MeanReimbursement,TotalReimbursement,StdReimbursement,MinReimbursement,MaxReimbursement,FirstClaimDate,LastClaimDate,UniqueClaimDates_Count,UniqueClaimMonths_Count,ClaimsPerBeneficiary_Ratio,InpatientPercentage,OutpatientPercentage,ExtraVisitsPerBeneficiary_Percentage,BeneficiariesWithInpatient_Percentage,BeneficiariesWithOutpatient_Percentage,InpatientOutpatient_Ratio,ClaimsPerMonth_Ratio,ClaimDurationDays,ReimbursementCoV_Ratio,PotentialFraud
PRV51015,8,7,0,8,87.5,700,74.01737247816507,10,200,2009-03-20,2009-12-05,8,6,1.1428571428571428,0.0,100.0,14.285714285714285,0.0,100.0,0.0,1.3333333333333333,260,0.8459128283218865,No
PRV51016,6,6,0,6,28.333333333333332,170,37.638632635454044,0,90,2009-01-28,2009-09-17,6,5,1.0,0.0,100.0,0.0,0.0,100.0,0.0,1.2,232,1.3284223283101428,No
PRV51017,515,420,0,515,277.126213592233,142720,570.1818038894332,0,3300,2008-12-17,2009-12-31,284,13,1.2261904761904763,0.0,100.0,22.61904761904762,0.0,100.0,0.0,39.61538461538461,379,2.057480584382414,No
PRV51021,257,208,29,228,1357.3151750972763,348830,4462.486890505436,0,57000,2008-12-14,2009-12-31,176,13,1.2355769230769231,11.284046692607005,88.715953307393,23.557692307692307,13.942307692307693,100.0,0.12719298245614036,19.76923076923077,382,3.287730788234662,Yes
PRV51023,36,35,9,27,1822.5,65610,3084.6980634832225,0,13000,2009-01-05,2009-12-18,35,12,1.0285714285714285,25.0,75.0,2.857142857142857,25.71428571428571,77.14285714285715,0.3333333333333333,3.0,347,1.692564095189697,No
PRV51024,39,38,9,30,1642.3076923076924,64050,3334.4891990563538,10,13000,2008-12-31,2009-12-26,38,11,1.0263157894736843,23.076923076923077,76.92307692307693,2.631578947368421,23.684210526315788,78.94736842105263,0.3,3.5454545454545454,360,2.0303681305729553,No
PRV51025,87,76,13,74,1360.344827586207,118350,3052.031899721988,0,17000,2008-12-17,2009-12-28,75,13,1.144736842105263,14.942528735632186,85.0574712643678,14.473684210526317,17.105263157894736,97.36842105263158,0.17567567567567569,6.6923076923076925,376,2.243572245676493,No
PRV51026,76,56,0,76,261.05263157894734,19840,668.7831316600191,0,3300,2009-01-03,2009-12-25,73,12,1.3571428571428572,0.0,100.0,35.714285714285715,0.0,100.0,0.0,6.333333333333333,356,2.561870867246041,No
PRV51027,53,44,0,53,563.0188679245283,29840,1044.0446219937528,0,3300,2009-01-04,2009-12-25,51,12,1.2045454545454546,0.0,100.0,20.454545454545457,0.0,100.0,0.0,4.416666666666667,355,1.8543687991175903,No
PRV51029,93,79,0,93,329.6774193548387,30660,618.3119580109661,0,3300,2009-01-04,2009-12-24,84,12,1.1772151898734178,0.0,100.0,17.72151898734177,0.0,100.0,0.0,7.75,354,1.8755059391722064,No
PRV51030,171,145,82,89,4326.081871345029,739760,6972.1108605702175,0,57000,2009-01-02,2009-12-28,141,12,1.1793103448275861,47.953216374269005,52.046783625730995,17.93103448275862,56.55172413793104,61.37931034482759,0.9213483146067416,14.25,360,1.6116456109515347,No
PRV51031,185,157,28,157,1944.4324324324325,359720,6540.990221125198,0,68000,2008-12-29,2009-12-21,146,13,1.178343949044586,15.135135135135137,84.86486486486487,17.8343949044586,17.8343949044586,100.0,0.17834394904458598,14.23076923076923,357,3.3639586092187304,No
PRV51032,23,21,0,23,235.65217391304347,5420,596.2063865273236,10,2900,2009-01-15,2009-12-17,23,11,1.0952380952380953,0.0,100.0,9.523809523809524,0.0,100.0,0.0,2.090909090909091,336,2.5300271014997127,No
PRV51035,30,25,1,29,1085.3333333333333,32560,5274.670594933628,0,29000,2008-12-18,2009-12-27,30,13,1.2,3.3333333333333335,96.66666666666667,20.0,4.0,100.0,0.034482758620689655,2.3076923076923075,374,4.859954479361451,No
PRV51036,278,131,0,278,269.3525179856115,74880,579.1512632739048,0,4400,2008-12-31,2009-12-30,186,13,2.122137404580153,0.0,100.0,112.21374045801527,0.0,100.0,0.0,21.384615384615383,364,2.1501609400393367,No
PRV51037,454,206,23,431,753.8105726872246,342230,2427.046146481494,0,23000,2008-12-21,2009-12-31,274,13,2.203883495145631,5.066079295154185,94.93392070484582,120.3883495145631,11.165048543689322,100.0,0.05336426914153132,34.92307692307692,375,3.2197029789983294,Yes
PRV51038,141,107,30,111,1882.9078014184397,265490,3612.4397254501177,0,17000,2008-12-22,2009-12-30,115,13,1.3177570093457944,21.27659574468085,78.72340425531915,31.775700934579437,28.037383177570092,100.0,0.2702702702702703,10.846153846153847,373,1.918543076155285,No
PRV51040,86,69,9,77,865.9302325581396,74470,3171.5249172846784,0,21000,2008-12-14,2009-12-30,74,13,1.2463768115942029,10.465116279069768,89.53488372093024,24.637681159420293,13.043478260869565,100.0,0.11688311688311688,6.615384615384615,381,3.662564024257853,No
PRV51041,34,31,0,34,217.94117647058823,7410,562.4232171797465,0,3200,2009-01-01,2009-12-20,33,12,1.096774193548387,0.0,100.0,9.67741935483871,0.0,100.0,0.0,2.8333333333333335,353,2.580619350082508,No
PRV51042,142,128,0,142,338.38028169014086,48050,625.7915694564421,0,3300,2009-01-01,2009-12-18,119,12,1.109375,0.0,100.0,10.9375,0.0,100.0,0.0,11.833333333333334,351,1.8493736287786633,No
PRV51043,23,20,0,23,194.7826086956522,4480,297.6402582315741,0,1100,2009-01-25,2009-11-11,23,9,1.15,0.0,100.0,15.0,0.0,100.0,0.0,2.5555555555555554,290,1.5280638257424561,No
PRV51044,59,39,0,59,361.52542372881356,21330,633.149798583193,10,3300,2009-02-12,2009-12-29,56,11,1.5128205128205128,0.0,100.0,51.28205128205128,0.0,100.0,0.0,5.363636363636363,320,1.7513285567936423,No
PRV51045,31,29,0,31,270.64516129032256,8390,602.7212483609703,0,3300,2009-01-22,2009-12-09,30,10,1.0689655172413792,0.0,100.0,6.896551724137931,0.0,100.0,0.0,3.1,321,2.2269795827401766,No
PRV51046,38,26,8,30,2878.157894736842,109370,7053.672555125875,0,38000,2009-01-09,2009-12-12,35,12,1.4615384615384615,21.052631578947366,78.94736842105263,46.15384615384615,30.76923076923077,100.0,0.26666666666666666,3.1666666666666665,337,2.450759413868367,No
PRV51047,11,11,0,11,230.0,2530,371.80640123591206,10,1300,2009-02-11,2009-12-16,11,7,1.0,0.0,100.0,0.0,0.0,100.0,0.0,1.5714285714285714,308,1.616549570590922,No
PRV51048,38,33,4,34,728.9473684210526,27700,1574.7102512949575,10,7000,2009-01-01,2009-12-29,35,11,1.1515151515151516,10.526315789473683,89.47368421052632,15.151515151515152,12.121212121212121,100.0,0.11764705882352941,3.4545454545454546,362,2.160252330296332,No
PRV51049,71,65,0,71,305.9154929577465,21720,644.0465321804644,0,3300,2008-12-30,2009-12-31,65,13,1.0923076923076922,0.0,100.0,9.230769230769232,0.0,100.0,0.0,5.461538461538462,366,2.1053086457096213,No
PRV51052,46,37,2,44,669.5652173913044,30800,1588.238656180332,0,9000,2009-01-07,2009-12-29,42,12,1.2432432432432432,4.3478260869565215,95.65217391304348,24.324324324324326,5.405405405405405,100.0,0.045454545454545456,3.8333333333333335,356,2.372044746243353,Yes
PRV51053,1,1,1,0,8000.0,8000,,8000,8000,2009-07-03,2009-07-03,1,1,1.0,100.0,0.0,0.0,100.0,0.0,0.0,1.0,0,0.0,No
PRV51054,57,40,0,57,265.43859649122805,15130,417.09056131834507,0,1900,2009-01-08,2009-12-25,50,12,1.425,0.0,100.0,42.5,0.0,100.0,0.0,4.75,351,1.5713259745634944,No
PRV51055,22,22,2,20,983.6363636363636,21640,3395.7838641391845,0,16000,2008-12-30,2009-12-28,22,10,1.0,9.090909090909092,90.9090909090909,0.0,9.090909090909092,90.9090909090909,0.1,2.2,363,3.452275647461278,No
PRV51056,22,21,2,20,668.1818181818181,14700,1288.2385033674632,0,5000,2009-02-23,2009-11-15,21,10,1.0476190476190477,9.090909090909092,90.9090909090909,4.761904761904762,9.523809523809524,95.23809523809523,0.1,2.2,265,1.9279759914342989,No
PRV51057,5,4,0,5,1366.0,6830,1273.8838251583227,30,3300,2009-03-19,2009-11-30,5,5,1.25,0.0,100.0,25.0,0.0,100.0,0.0,1.0,256,0.9325650257381571,No
PRV51058,83,75,5,78,1289.5180722891566,107030,6524.930595577891,0,57000,2009-01-04,2009-12-28,74,12,1.1066666666666667,6.024096385542169,93.97590361445783,10.666666666666668,6.666666666666667,100.0,0.0641025641025641,6.916666666666667,358,5.059976076174577,No
PRV51059,96,82,25,71,4386.041666666667,421060,10846.377176314554,10,57000,2009-01-01,2009-12-31,83,12,1.170731707317073,26.041666666666668,73.95833333333334,17.073170731707318,30.48780487804878,86.58536585365853,0.352112676056338,8.0,364,2.4729307199121195,Yes
PRV51060,42,42,5,37,1040.7142857142858,43710,2605.1781389932817,10,14000,2009-01-01,2009-12-12,38,12,1.0,11.904761904761903,88.09523809523809,0.0,11.904761904761903,88.09523809523809,0.13513513513513514,3.5,345,2.5032597080237435,No
PRV51061,145,67,1,144,378.8965517241379,54940,846.8914705174736,0,6700,2009-01-02,2009-12-31,116,12,2.1641791044776117,0.6896551724137931,99.3103448275862,116.4179104477612,1.4925373134328357,100.0,0.006944444444444444,12.083333333333334,363,2.2351522247002853,No
PRV51062,397,166,3,394,386.3476070528967,153380,1582.0120515942547,0,25000,2008-12-22,2009-12-31,234,13,2.391566265060241,0.7556675062972292,99.24433249370277,139.15662650602408,1.8072289156626504,100.0,0.007614213197969543,30.53846153846154,374,4.094789310750548,No
PRV51063,149,115,0,149,343.02013422818794,51110,649.1935794860635,0,3300,2008-12-31,2009-12-27,124,13,1.2956521739130435,0.0,100.0,29.565217391304348,0.0,100.0,0.0,11.461538461538462,361,1.8925815563182051,No
PRV51064,303,227,36,267,1189.1749174917493,360320,3480.8675241896503,0,37000,2008-12-19,2009-12-31,196,13,1.3348017621145374,11.881188118811881,88.11881188118812,33.480176211453745,15.859030837004406,100.0,0.1348314606741573,23.307692307692307,377,2.9271282743934948,Yes
PRV51065,28,26,10,18,2734.6428571428573,76570,3990.1819155994285,0,11000,2008-12-29,2009-12-19,27,12,1.0769230769230769,35.714285714285715,64.28571428571429,7.6923076923076925,38.46153846153847,69.23076923076923,0.5555555555555556,2.3333333333333335,355,1.4591235945773018,No
PRV51066,24,21,2,22,1032.9166666666667,24790,3108.2911272730003,0,15000,2009-01-14,2009-12-25,24,12,1.1428571428571428,8.333333333333332,91.66666666666666,14.285714285714285,9.523809523809524,100.0,0.09090909090909091,2.0,345,3.009237073600323,No
PRV51067,58,49,12,46,5767.586206896552,334520,15030.416215635716,0,83000,2009-01-12,2009-12-05,52,12,1.183673469387755,20.689655172413794,79.3103448275862,18.367346938775512,24.489795918367346,93.87755102040816,0.2608695652173913,4.833333333333333,327,2.606015008091808,Yes
PRV51068,261,214,9,252,548.8888888888889,143260,1833.7386964443992,0,19000,2008-12-27,2009-12-29,186,13,1.219626168224299,3.4482758620689653,96.55172413793103,21.962616822429908,4.205607476635514,100.0,0.03571428571428571,20.076923076923077,367,3.34081948744931,No
PRV51070,99,69,10,89,1266.7676767676767,125410,3525.2155320655197,0,22000,2008-12-21,2009-12-15,86,13,1.434782608695652,10.1010101010101,89.8989898989899,43.47826086956522,14.492753623188406,100.0,0.11235955056179775,7.615384615384615,359,2.782842976433191,No
PRV51071,24,24,0,24,356.25,8550,728.391990142909,0,3200,2009-01-07,2009-12-23,23,11,1.0,0.0,100.0,0.0,0.0,100.0,0.0,2.1818181818181817,350,2.0446090951379903,No
PRV51072,212,160,12,200,562.122641509434,119170,1647.668962074742,0,14000,2009-01-01,2009-12-27,151,12,1.325,5.660377358490567,94.33962264150944,32.5,7.5,100.0,0.06,17.666666666666668,360,2.931155659644586,No
PRV51074,39,39,5,34,1055.6410256410256,41170,2662.095331117354,0,15000,2008-12-22,2009-12-28,38,13,1.0,12.82051282051282,87.17948717948718,0.0,12.82051282051282,87.17948717948718,0.14705882352941177,3.0,371,2.521780857750226,No
PRV51075,17,13,0,17,502.94117647058823,8550,765.4881180159032,10,3000,2009-02-26,2009-12-08,17,9,1.3076923076923077,0.0,100.0,30.76923076923077,0.0,100.0,0.0,1.8888888888888888,285,1.5220231586281117,No
PRV51076,29,27,0,29,352.7586206896552,10230,853.5467873682151,0,3300,2009-01-13,2009-12-17,29,12,1.0740740740740742,0.0,100.0,7.4074074074074066,0.0,100.0,0.0,2.4166666666666665,338,2.419634099088782,No
PRV51077,33,30,16,17,6192.424242424242,204350,11146.270685273796,10,56000,2008-12-31,2009-12-12,32,12,1.1,48.484848484848484,51.515151515151516,10.0,53.333333333333336,56.666666666666664,0.9411764705882353,2.75,346,1.799984989547518,Yes
PRV51078,23,23,9,14,3403.0434782608695,78270,5039.106553910135,10,16000,2008-12-28,2009-12-09,22,10,1.0,39.130434782608695,60.86956521739131,0.0,39.130434782608695,60.86956521739131,0.6428571428571429,2.3,346,1.4807646702431723,No
PRV51081,200,131,6,194,620.4,124080,3552.83973617651,0,48000,2008-12-25,2009-12-29,156,13,1.5267175572519085,3.0,97.0,52.67175572519084,4.580152671755725,100.0,0.030927835051546393,15.384615384615385,369,5.726692031232286,No
PRV51082,34,31,0,34,160.88235294117646,5470,237.41496272903532,0,1000,2009-01-13,2009-12-14,33,10,1.096774193548387,0.0,100.0,9.67741935483871,0.0,100.0,0.0,3.4,335,1.4757054356100916,No
PRV51083,90,81,0,90,201.11111111111111,18100,512.3210993741329,0,3300,2009-01-16,2009-12-31,83,12,1.1111111111111112,0.0,100.0,11.11111111111111,0.0,100.0,0.0,7.5,349,2.547452980313368,No
PRV51084,110,85,20,90,1959.8181818181818,215580,5957.252765923029,0,45000,2009-01-04,2009-12-19,98,12,1.2941176470588236,18.181818181818183,81.81818181818183,29.411764705882355,23.52941176470588,100.0,0.2222222222222222,9.166666666666666,349,3.039696652062034,Yes
PRV51086,139,115,31,108,3209.856115107914,446170,8080.497185307093,0,57000,2009-01-01,2009-12-29,116,12,1.208695652173913,22.302158273381295,77.6978417266187,20.869565217391305,26.956521739130434,93.91304347826087,0.28703703703703703,11.583333333333334,362,2.51740168267182,No
PRV51089,228,197,18,210,1012.719298245614,230900,3851.611890980826,0,41000,2008-12-31,2009-12-25,167,13,1.1573604060913705,7.894736842105263,92.10526315789474,15.736040609137056,9.137055837563452,100.0,0.08571428571428572,17.53846153846154,359,3.80323738044014,No
PRV51090,7,7,0,7,832.8571428571429,5830,1303.798479900355,20,3300,2009-01-27,2009-10-13,7,6,1.0,0.0,100.0,0.0,0.0,100.0,0.0,1.1666666666666667,259,1.5654527202920214,No
PRV51091,44,44,0,44,210.6818181818182,9270,451.69138325658287,10,2100,2009-01-04,2009-12-26,42,12,1.0,0.0,100.0,0.0,0.0,100.0,0.0,3.6666666666666665,356,2.143950470689282,No
PRV51093,9,9,2,7,1523.3333333333333,13710,3616.559138186461,0,11000,2009-01-08,2009-11-07,9,8,1.0,22.22222222222222,77.77777777777779,0.0,22.22222222222222,77.77777777777779,0.2857142857142857,1.125,303,2.3741088434484428,No
PRV51096,5,5,0,5,640.0,3200,826.4381404557754,100,2100,2009-01-05,2009-09-12,5,4,1.0,0.0,100.0,0.0,0.0,100.0,0.0,1.25,250,1.291309594462149,No
PRV51097,125,71,0,125,355.36,44420,751.1727862740433,0,3500,2008-12-14,2009-12-30,108,13,1.7605633802816902,0.0,100.0,76.05633802816901,0.0,100.0,0.0,9.615384615384615,381,2.113836071234926,No
PRV51098,4,4,0,4,75.0,300,85.04900548115383,10,200,2009-05-19,2009-10-14,4,3,1.0,0.0,100.0,0.0,0.0,100.0,0.0,1.3333333333333333,148,1.1339867397487178,No
PRV51100,5,5,5,0,15600.0,78000,11436.782764396638,3000,33000,2009-02-16,2009-06-04,5,3,1.0,100.0,0.0,0.0,100.0,0.0,0.0,1.6666666666666667,108,0.7331271002818357,No
PRV51101,3,3,3,0,5533.333333333333,16600,6576.726642740547,600,13000,2009-01-06,2009-02-05,3,2,1.0,100.0,0.0,0.0,100.0,0.0,0.0,1.5,30,1.1885650559169663,No
PRV51102,12,11,12,0,12333.333333333334,148000,12017.663767315278,3000,47000,2009-03-19,2009-12-22,12,7,1.0909090909090908,100.0,0.0,9.090909090909092,100.0,0.0,0.0,1.7142857142857142,278,0.9744051703228603,No
PRV51103,6,4,0,6,73.33333333333333,440,71.46094504459528,10,200,2009-04-03,2009-12-20,6,6,1.5,0.0,100.0,50.0,0.0,100.0,0.0,1.0,261,0.9744674324262993,Yes
PRV51104,12,9,0,12,158.33333333333334,1900,202.83595401807898,10,700,2009-01-01,2009-09-16,12,9,1.3333333333333333,0.0,100.0,33.33333333333333,0.0,100.0,0.0,1.3333333333333333,258,1.2810691832720777,No
PRV51105,12,12,0,12,545.0,6540,767.4455858708989,10,1800,2009-01-01,2009-10-24,12,6,1.0,0.0,100.0,0.0,0.0,100.0,0.0,2.0,296,1.4081570382952273,No
PRV51108,19,19,19,0,8210.526315789473,156000,5633.027086038801,0,22000,2009-01-05,2009-11-28,19,7,1.0,100.0,0.0,0.0,100.0,0.0,0.0,2.7142857142857144,327,0.686073811761136,No
PRV51109,3,3,3,0,6000.0,18000,2645.7513110645905,3000,8000,2009-04-17,2009-12-12,3,3,1.0,100.0,0.0,0.0,100.0,0.0,0.0,1.0,239,0.44095855184409843,No
PRV51110,5,5,5,0,5400.0,27000,2509.980079602227,3000,9000,2009-05-25,2009-12-19,5,4,1.0,100.0,0.0,0.0,100.0,0.0,0.0,1.25,208,0.46481112585226425,No
PRV51111,132,85,0,132,415.6060606060606,54860,886.0584799473751,0,7010,2009-01-03,2009-12-28,118,12,1.5529411764705883,0.0,100.0,55.294117647058826,0.0,100.0,0.0,11.0,359,2.131967177416214,No
PRV51112,304,195,0,304,346.2171052631579,105250,655.4920296194023,0,4100,2008-12-24,2009-12-29,211,13,1.558974358974359,0.0,100.0,55.8974358974359,0.0,100.0,0.0,23.384615384615383,370,1.8932976437463018,No
PRV51113,132,78,0,132,351.43939393939394,46390,712.566731923337,0,3300,2008-12-15,2009-12-31,114,13,1.6923076923076923,0.0,100.0,69.23076923076923,0.0,100.0,0.0,10.153846153846153,381,2.027566471521459,No
PRV51114,262,160,0,262,292.82442748091603,76720,708.7145287296077,0,8200,2008-12-26,2009-12-29,180,13,1.6375,0.0,100.0,63.74999999999999,0.0,100.0,0.0,20.153846153846153,368,2.420271200823217,No
PRV51115,7,6,0,7,140.0,980,203.9607805437114,40,600,2009-02-22,2009-12-05,7,6,1.1666666666666667,0.0,100.0,16.666666666666664,0.0,100.0,0.0,1.1666666666666667,286,1.4568627181693672,No
PRV51117,12,10,0,12,162.5,1950,390.8527972151524,10,1400,2009-03-02,2009-11-22,12,7,1.2,0.0,100.0,20.0,0.0,100.0,0.0,1.7142857142857142,265,2.4052479828624764,No
PRV51118,16,16,16,0,8500.0,136000,5738.757124441959,2000,22000,2009-01-21,2009-11-28,16,7,1.0,100.0,0.0,0.0,100.0,0.0,0.0,2.2857142857142856,311,0.6751478969931716,No
PRV51119,95,81,94,1,11374.526315789473,1080580,16356.874653901614,0,118000,2008-12-11,2009-12-28,85,13,1.1728395061728396,98.94736842105263,1.0526315789473684,17.28395061728395,100.0,1.2345679012345678,94.0,7.3076923076923075,382,1.4380268856731138,Yes
PRV51120,7,7,7,0,7428.571428571428,52000,4649.628761422531,3000,15000,2009-03-07,2009-11-13,7,6,1.0,100.0,0.0,0.0,100.0,0.0,0.0,1.1666666666666667,251,0.6259115640376485,No
PRV51121,7,7,6,1,11582.857142857143,81080,15810.69439154578,80,45000,2009-01-31,2009-12-12,7,6,1.0,85.71428571428571,14.285714285714285,0.0,85.71428571428571,14.285714285714285,6.0,1.1666666666666667,315,1.3650081492454422,No
PRV51122,7,7,0,7,160.0,1120,200.91457554559517,10,500,2009-01-12,2009-11-06,7,6,1.0,0.0,100.0,0.0,0.0,100.0,0.0,1.1666666666666667,298,1.25571609715997,No
PRV51123,31,28,2,29,868.0645161290323,26910,1317.6934882711753,20,5000,2008-12-20,2009-12-27,30,12,1.1071428571428572,6.451612903225806,93.54838709677419,10.714285714285714,7.142857142857142,100.0,0.06896551724137931,2.5833333333333335,372,1.5179672291492543,No
PRV51125,48,32,12,36,2735.625,131310,5492.628292403432,10,30000,2009-01-01,2009-12-21,45,12,1.5,25.0,75.0,50.0,37.5,100.0,0.3333333333333333,4.0,354,2.0078147744677843,No
PRV51126,20,14,20,0,8850.0,177000,6200.806399170997,0,25000,2009-01-07,2009-12-21,19,10,1.4285714285714286,100.0,0.0,42.857142857142854,100.0,0.0,0.0,2.0,348,0.7006560903018075,Yes
PRV51128,50,38,5,45,2044.4,102220,6147.383103435815,0,29000,2008-12-14,2009-12-15,46,13,1.3157894736842106,10.0,90.0,31.57894736842105,13.157894736842104,100.0,0.1111111111111111,3.8461538461538463,366,3.0069375383661785,No
PRV51129,96,65,0,96,238.75,22920,364.57401241217923,0,2000,2009-01-03,2009-12-30,88,12,1.476923076923077,0.0,100.0,47.69230769230769,0.0,100.0,0.0,8.0,361,1.5270115703127927,No
PRV51130,7,7,0,7,710.0,4970,1110.8555261599054,10,3100,2009-01-20,2009-08-15,7,5,1.0,0.0,100.0,0.0,0.0,100.0,0.0,1.4,207,1.5645852481125428,No
PRV51131,8,8,0,8,145.0,1160,272.81600288210996,0,800,2009-01-09,2009-12-01,8,5,1.0,0.0,100.0,0.0,0.0,100.0,0.0,1.6,326,1.8814896750490342,No
PRV51132,8,6,1,7,666.25,5330,1376.0392176720216,0,4000,2009-02-25,2009-11-18,8,4,1.3333333333333333,12.5,87.5,33.33333333333333,16.666666666666664,100.0,0.14285714285714285,2.0,266,2.065349670051815,No
PRV51134,15,12,0,15,507.3333333333333,7610,862.0363488082546,0,2900,2009-01-28,2009-12-11,15,9,1.25,0.0,100.0,25.0,0.0,100.0,0.0,1.6666666666666667,317,1.699151804484076,No
PRV51135,5,2,0,5,60.0,300,25.495097567963924,30,90,2009-01-05,2009-12-22,5,5,2.5,0.0,100.0,150.0,0.0,100.0,0.0,1.0,351,0.42491829279939874,No
PRV51136,1,1,1,0,20000.0,20000,,20000,20000,2008-12-31,2008-12-31,1,1,1.0,100.0,0.0,0.0,100.0,0.0,0.0,1.0,0,0.0,No
PRV51137,55,51,1,54,291.8181818181818,16050,915.9756807969565,0,6000,2009-01-03,2009-12-28,53,11,1.0784313725490196,1.8181818181818181,98.18181818181819,7.8431372549019605,1.9607843137254901,100.0,0.018518518518518517,5.0,359,3.138857473135988,No
PRV51138,26,21,1,25,516.5384615384615,13430,1328.0751253078788,0,6000,2009-01-01,2009-12-01,24,11,1.2380952380952381,3.8461538461538463,96.15384615384616,23.809523809523807,4.761904761904762,100.0,0.04,2.3636363636363638,334,2.5711059760241883,No
PRV51139,43,42,7,36,1222.7906976744187,52580,2617.7647003842944,0,14000,2008-12-26,2009-12-31,42,13,1.0238095238095237,16.27906976744186,83.72093023255815,2.380952380952381,16.666666666666664,85.71428571428571,0.19444444444444445,3.3076923076923075,370,2.1408117557345885,No
PRV51140,487,394,47,440,930.4517453798768,453130,2349.6109040529427,0,16000,2008-12-28,2009-12-31,266,13,1.236040609137056,9.650924024640657,90.34907597535934,23.604060913705585,11.928934010152284,100.0,0.10681818181818181,37.46153846153846,368,2.5252367097163795,No
PRV51141,71,37,0,71,274.50704225352115,19490,409.52512126815634,0,1900,2009-01-19,2009-12-08,64,12,1.9189189189189189,0.0,100.0,91.8918918918919,0.0,100.0,0.0,5.916666666666667,323,1.4918565218080604,No
PRV51142,51,38,7,44,2050.392156862745,104570,8323.291887416734,10,57000,2008-12-25,2009-12-24,47,13,1.3421052631578947,13.725490196078432,86.27450980392157,34.21052631578947,18.421052631578945,100.0,0.1590909090909091,3.923076923076923,364,4.059365843533072,No
PRV51143,77,68,0,77,265.5844155844156,20450,515.6944564230928,0,3300,2008-12-26,2009-12-27,72,13,1.1323529411764706,0.0,100.0,13.23529411764706,0.0,100.0,0.0,5.923076923076923,366,1.941734628096731,No
PRV51144,30,29,4,26,2040.6666666666667,61220,6249.665885322264,0,33000,2009-01-12,2009-12-06,29,11,1.0344827586206897,13.333333333333334,86.66666666666667,3.4482758620689653,13.793103448275861,89.65517241379311,0.15384615384615385,2.727272727272727,328,3.0625608716051604,No
PRV51145,202,161,161,41,7952.227722772277,1606350,8839.83473245615,0,46000,2008-12-29,2009-12-24,159,13,1.2546583850931676,79.70297029702971,20.2970297029703,25.465838509316768,100.0,25.465838509316768,3.926829268292683,15.538461538461538,360,1.1116174034028339,Yes
